run_id,chunk,model,input_tokens,output_tokens,cost_usd,called_at
RUN-TEST-MEANING-LIVE-1,1/2,claude-sonnet-5,30607,8000,0.2118,2026-09-17T08:44:45Z
RUN-TEST-MEANING-LIVE-2,1/2,claude-sonnet-5,30607,8000,0.2118,2026-09-17T08:50:54Z
RUN-DEBUG-3,1/1,claude-sonnet-5,14059,2966,0.0867,2026-09-17T08:53:10Z
RUN-DEBUG-4,"1/1 (ESTIMATED, same chunk as DEBUG-3, exact usage not captured)",claude-sonnet-5,14059,2966,0.0867,2026-09-17T08:53:10Z
RUN-20260917_102744_045-VERSE-READING,1/2,claude-sonnet-5,31085,9016,0.2285,2026-09-17T09:29:01Z
RUN-20260917_102744_045-VERSE-READING,2/2,claude-sonnet-5,30883,4177,0.1553,2026-09-17T09:29:39Z
RUN-20260917_103421_142-VERSE-READING,1/2,claude-sonnet-5,39980,11714,0.2957,2026-09-17T09:35:59Z
RUN-20260917_103421_142-VERSE-READING,2/2,claude-sonnet-5,39418,17099,0.3747,2026-09-17T09:38:15Z
RUN-20260917_114513_522-CLUSTER-SUBGROUP,1/1,claude-sonnet-5,44452,1418,0.1546,2026-09-17T10:45:31Z
RUN-20260917_120500_236-CLUSTER-SUBGROUP,1/1,claude-sonnet-5,44903,2158,0.1671,2026-09-17T11:05:24Z
RUN-20260917_120715_348-CLUSTER-SUBGROUP,1/1,claude-sonnet-5,44903,2003,0.1648,2026-09-17T11:07:39Z
RUN-20260917_171821_548-VERSE-READING,1/2,claude-sonnet-5,306116,20000,1.2183,2026-09-17T16:21:14Z
RUN-20260917_172302_072-VERSE-READING,1/4,claude-sonnet-5,184864,27313,0.9643,2026-09-17T16:26:59Z
RUN-20260917_172302_072-VERSE-READING,2/4,claude-sonnet-5,140075,18391,0.6961,2026-09-17T16:29:40Z
RUN-20260917_172302_072-VERSE-READING,3/4,claude-sonnet-5,52569,21804,0.4848,2026-09-17T16:32:38Z
RUN-20260917_172302_072-VERSE-READING,4/4,claude-sonnet-5,37504,14177,0.3252,2026-09-17T16:34:36Z
RUN-20260918_040807_724-CLUSTER-SUBGROUP,1/1,claude-sonnet-5,59182,2717,0.2183,2026-09-18T03:08:38Z
RUN-20260918_042813_173-CLUSTER-READING,1/1,claude-sonnet-5,20679,2478,0.0992,2026-09-18T03:28:41Z
RUN-20260918_042952_582-CLUSTER-READING,1/1,claude-sonnet-5,20679,2336,0.0971,2026-09-18T03:30:19Z
RUN-20260918_043110_611-CLUSTER-READING,1/1,claude-sonnet-5,12019,1715,0.0618,2026-09-18T03:31:31Z
RUN-20260918_043139_492-CLUSTER-READING,1/1,claude-sonnet-5,30709,2973,0.1367,2026-09-18T03:32:09Z
RUN-20260918_043217_254-CLUSTER-READING,1/1,claude-sonnet-5,10159,1717,0.0562,2026-09-18T03:32:34Z
RUN-20260918_044607_790-CLUSTER-ANSWER,1/1,claude-sonnet-5,24618,15711,0.3095,2026-09-18T03:48:26Z
RUN-20260918_045033_622-CLUSTER-ANSWER,1/1,claude-sonnet-5,25891,17236,0.3362,2026-09-18T03:52:56Z
RUN-20260918_045320_324-CLUSTER-ANSWER,1/1,claude-sonnet-5,15594,14818,0.2691,2026-09-18T03:55:25Z
RUN-20260918_045533_229-CLUSTER-ANSWER,1/1,claude-sonnet-5,34851,15054,0.3304,2026-09-18T03:57:44Z
RUN-20260918_045754_521-CLUSTER-ANSWER,1/1,claude-sonnet-5,13508,12946,0.2347,2026-09-18T03:59:46Z
